,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Maximum allowed speed of current road (km/h),GPS speed (km/h) [same as in RAW GPS]],class,Driver
0,22.33,93.3,40.519077,-3.410102,-0.052,0.001,-0.033,-0.015,-1.5590000000000002,0.025,0.147,100.0,92.9,normal,D5
1,23.34,92.9,40.519268,-3.410277,-0.04,-0.005,-0.01,-0.009,-1.555,0.005,0.146,100.0,92.9,normal,D5
2,24.33,92.7,40.519455,-3.410453,0.01,0.011,0.022,0.002,-1.5519999999999998,0.008,0.143,100.0,92.7,normal,D5
3,25.36,92.7,40.519646,-3.410628,-0.009,0.003,-0.0139999999999999,-0.005,-1.551,0.012,0.143,100.0,92.7,normal,D5
4,26.37,92.2,40.519836,-3.4108,-0.003,0.013,0.0289999999999999,0.016,-1.5490000000000002,0.017,0.146,100.0,92.2,normal,D5
5,27.33,92.2,40.52002,-3.410976,0.004,0.036,0.001,0.0069999999999999,-1.5590000000000002,0.015,0.146,100.0,91.5,normal,D5
6,28.37,91.5,40.520206,-3.411161,-0.081,-0.006,-0.004,0.004,-1.557,0.01,0.141,100.0,91.5,normal,D5
7,29.34,91.8,40.520382,-3.4113260000000003,0.042,0.003,-0.0279999999999999,-0.0069999999999999,-1.565,0.009,0.143,100.0,91.5,normal,D5
8,30.34,92.2,40.520573,-3.4115050000000005,-0.123,0.034,0.023,-0.003,-1.5719999999999998,0.01,0.142,100.0,91.8,normal,D5
9,31.34,93.3,40.520767,-3.411677,0.034,0.012,0.004,-0.006,-1.5759999999999998,0.004,0.136,100.0,93.3,normal,D5
10,32.36,93.3,40.520966,-3.411858,-0.048,0.017,-0.013,0.0,-1.5719999999999998,0.01,0.135,100.0,93.3,normal,D5
11,33.39,95.4,40.52116,-3.412039,-0.099,-0.009,0.01,-0.0,-1.569,0.0279999999999999,0.139,100.0,95.4,normal,D5
12,34.34,94.6,40.521362,-3.412218,0.057,0.008,0.016,0.0069999999999999,-1.567,0.032,0.142,100.0,95.4,normal,D5
13,35.34,94.6,40.521557,-3.4123980000000005,0.023,0.0139999999999999,-0.023,0.002,-1.565,0.023,0.145,100.0,94.6,normal,D5
14,36.37,93.6,40.521736,-3.4125660000000004,-0.068,0.015,0.037,0.016,-1.57,0.024,0.145,100.0,93.6,normal,D5
15,37.34,94.1,40.521919,-3.4127339999999995,0.031,0.003,0.001,0.006,-1.581,0.02,0.145,100.0,93.6,normal,D5
16,38.36,94.0,40.522106,-3.4129120000000004,-0.0409999999999999,0.019,-0.009,-0.016,-1.577,0.0139999999999999,0.143,100.0,94.0,normal,D5
17,39.34,94.0,40.522297,-3.4130910000000005,-0.093,-0.026,-0.011,-0.012,-1.586,0.005,0.145,100.0,94.0,normal,D5
18,40.35,93.1,40.522484000000006,-3.413265,0.06,-0.067,-0.016,-0.017,-1.584,0.011,0.16,100.0,93.3,normal,D5
19,41.34,93.3,40.522663,-3.413459,-0.026,-0.045,0.04,0.015,-1.582,0.033,0.1889999999999999,100.0,93.3,normal,D5
20,42.34,94.8,40.522846,-3.413656,-0.001,-0.01,0.01,0.013,-1.594,0.037,0.22,100.0,93.3,normal,D5
21,43.34,94.1,40.523033,-3.413853,0.005,-0.032,-0.002,-0.005,-1.599,0.03,0.254,100.0,95.4,normal,D5
22,44.36,95.4,40.523216,-3.41407,-0.083,0.001,-0.02,-0.01,-1.595,0.025,0.288,100.0,95.4,normal,D5
23,45.42,95.5,40.523399,-3.4142980000000005,-0.015,-0.033,-0.018,0.002,-1.595,0.02,0.316,100.0,95.4,normal,D5
24,46.34,96.9,40.523567,-3.414539,-0.006,0.01,0.036,0.019,-1.592,0.02,0.344,90.0,96.9,normal,D5
25,47.35,96.7,40.523731,-3.414781,0.018,0.024,-0.008,0.004,-1.591,0.023,0.369,90.0,96.9,normal,D5
26,48.36,97.1,40.52388,-3.4150339999999995,-0.046,0.022,0.006,0.013,-1.59,0.033,0.3989999999999999,90.0,97.1,normal,D5
27,49.35,98.3,40.524025,-3.415292,-0.048,0.0289999999999999,-0.002,-0.0,-1.592,0.023,0.416,90.0,97.1,normal,D5
28,50.35,99.9,40.524174,-3.415573,0.071,-0.02,0.012,0.0139999999999999,-1.592,0.017,0.429,90.0,97.1,normal,D5
29,51.41,100.8,40.524307,-3.415846,0.035,0.015,-0.021,-0.009,-1.597,0.023,0.446,90.0,100.8,normal,D5
30,52.35,101.8,40.524433,-3.416128,-0.008,-0.035,-0.039,-0.035,-1.577,0.04,0.4629999999999999,90.0,100.8,normal,D5
31,53.4,100.9,40.524551,-3.4164230000000004,0.015,-0.019,-0.0409999999999999,-0.034,-1.534,0.046,0.482,90.0,100.8,normal,D5
32,54.42,99.8,40.524654,-3.416723,0.0139999999999999,-0.006,-0.003,-0.0,-1.5119999999999998,0.044,0.497,90.0,100.8,normal,D5
33,55.35,97.8,40.52475,-3.417015,0.009,0.021,-0.015,0.017,-1.486,0.039,0.508,90.0,95.7,normal,D5
34,56.35,96.8,40.52483,-3.4173120000000003,0.098,0.0279999999999999,0.019,0.022,-1.496,0.04,0.507,90.0,95.7,normal,D5
35,57.35,95.7,40.524906,-3.417613,-0.021,0.053,-0.02,-0.012,-1.489,0.018,0.495,90.0,95.7,normal,D5
36,58.35,94.1,40.524975,-3.417906,0.022,0.019,0.013,0.01,-1.494,0.008,0.477,100.0,94.1,normal,D5
37,59.33,93.9,40.525043,-3.4182010000000003,-0.021,0.025,0.004,0.001,-1.491,0.017,0.4589999999999999,100.0,94.1,normal,D5
38,60.33,92.2,40.525108,-3.418489,-0.005,0.012,-0.0139999999999999,0.01,-1.49,0.031,0.435,80.0,92.2,normal,D5
39,61.35,92.2,40.525166,-3.418784,-0.073,0.027,0.016,0.003,-1.485,0.003,0.4,80.0,92.2,normal,D5
40,62.38,90.0,40.525238,-3.419053,-0.04,0.0289999999999999,-0.0069999999999999,-0.003,-1.487,-0.002,0.354,80.0,90.0,normal,D5
41,63.35,89.0,40.525299,-3.419339,-0.055,0.008,0.003,-0.0,-1.484,-0.011,0.313,80.0,90.0,normal,D5
42,64.35,88.5,40.525364,-3.41961,0.01,0.002,-0.0069999999999999,0.006,-1.496,-0.008,0.27,80.0,90.0,normal,D5
43,65.37,87.4,40.525429,-3.419884,0.024,0.001,0.009,-0.002,-1.497,0.003,0.2239999999999999,80.0,85.6,normal,D5
44,66.42,85.6,40.525509,-3.420153,-0.009,-0.002,0.0279999999999999,0.023,-1.508,-0.01,0.17,80.0,85.6,normal,D5
45,67.34,86.1,40.525578,-3.420414,-0.069,-0.027,-0.0,-0.005,-1.514,-0.012,0.127,80.0,86.1,normal,D5
46,68.35,86.3,40.525661,-3.42067,0.003,-0.019,0.022,0.016,-1.513,-0.004,0.09,80.0,86.1,normal,D5
47,69.37,86.8,40.525753,-3.420933,0.054,-0.024,-0.009,0.015,-1.52,-0.016,0.0559999999999999,80.0,86.8,normal,D5
48,70.34,88.4,40.525856,-3.421188,0.024,0.01,-0.012,0.005,-1.5319999999999998,-0.024,0.021,100.0,88.4,normal,D5
49,71.33,87.0,40.52597,-3.421432,0.052,0.0579999999999999,0.011,0.018,-1.538,-0.06,-0.031,90.0,87.0,normal,D5
50,72.36,87.6,40.526085,-3.421673,-0.031,-0.005,0.02,0.011,-1.548,-0.042,-0.077,90.0,87.0,normal,D5
51,73.36,89.1,40.526215,-3.4218800000000003,0.027,0.012,0.033,0.019,-1.565,-0.057,-0.1169999999999999,90.0,89.1,normal,D5
52,74.35,90.2,40.526356,-3.422111,-0.035,-0.039,-0.002,-0.013,-1.565,-0.0559999999999999,-0.158,90.0,90.2,normal,D5
53,75.41,90.9,40.526508,-3.422338,-0.057,0.001,-0.0969999999999999,-0.066,-1.556,-0.043,-0.185,90.0,90.9,normal,D5
54,76.33,90.4,40.526665,-3.422554,-0.034,-0.022,-0.043,-0.05,-1.537,-0.046,-0.214,90.0,90.4,normal,D5
55,77.33,89.9,40.526836,-3.422746,-0.032,0.001,0.001,0.0,-1.52,-0.0409999999999999,-0.24,90.0,90.4,normal,D5
56,78.33,89.3,40.526997,-3.422934,-0.004,-0.015,0.026,0.023,-1.5219999999999998,-0.036,-0.268,90.0,89.9,normal,D5
57,79.33,90.1,40.52718,-3.423122,-0.026,-0.002,0.022,0.027,-1.535,-0.044,-0.3,90.0,90.1,normal,D5
58,80.4,91.6,40.527363,-3.423302,0.012,-0.013,0.043,0.025,-1.544,-0.033,-0.321,90.0,90.1,normal,D5
59,81.34,92.2,40.527557,-3.4234730000000004,-0.018,-0.001,0.004,0.003,-1.551,-0.048,-0.3429999999999999,90.0,92.2,normal,D5
60,82.33,93.6,40.527763,-3.423628,0.024,0.016,-0.01,0.002,-1.564,-0.048,-0.363,90.0,93.6,normal,D5
61,83.37,94.0,40.527966,-3.423779,0.001,-0.013,-0.013,-0.015,-1.5530000000000002,-0.057,-0.382,90.0,93.6,normal,D5
62,84.38,94.1,40.528175,-3.4239330000000003,-0.042,-0.052,-0.011,-0.003,-1.5419999999999998,-0.033,-0.373,90.0,94.1,normal,D5
63,85.4,94.4,40.528385,-3.424077,-0.021,-0.023,0.003,0.009,-1.537,-0.013,-0.356,90.0,94.1,normal,D5
64,86.33,94.4,40.528595,-3.424214,-0.073,0.004,-0.046,-0.0139999999999999,-1.52,-0.011,-0.341,90.0,94.4,normal,D5
65,87.35,92.4,40.528805,-3.424357,-0.064,-0.0,-0.047,-0.033,-1.51,-0.012,-0.318,90.0,94.4,normal,D5
66,88.42,91.3,40.529007,-3.42449,0.051,-0.042,-0.006,0.011,-1.495,-0.013,-0.287,90.0,91.3,normal,D5
67,89.34,90.7,40.529198,-3.424621,-0.059,-0.045,-0.0279999999999999,-0.012,-1.492,-0.003,-0.258,90.0,89.1,normal,D5
68,90.34,89.1,40.529396000000006,-3.424757,0.051,0.024,-0.006,0.008,-1.49,-0.011,-0.2269999999999999,90.0,89.1,normal,D5
69,91.4,87.9,40.529598,-3.4249089999999995,0.004,0.022,-0.012,-0.001,-1.484,-0.015,-0.2019999999999999,90.0,87.9,normal,D5
70,92.34,87.4,40.529793,-3.425053,-0.059,0.016,0.0139999999999999,0.017,-1.492,-0.005,-0.177,90.0,87.9,normal,D5
71,93.34,86.6,40.529968,-3.425184,0.02,-0.035,0.006,0.008,-1.4980000000000002,0.001,-0.147,90.0,87.4,normal,D5
72,94.38,85.8,40.530148,-3.4253339999999994,-0.023,-0.03,0.0279999999999999,0.009,-1.507,0.017,-0.099,90.0,85.8,normal,D5
73,95.34,86.1,40.530327,-3.425489,-0.096,-0.011,-0.01,-0.008,-1.51,0.02,-0.0579999999999999,90.0,85.8,normal,D5
74,96.35,84.3,40.530506,-3.4256519999999995,-0.098,0.023,-0.011,-0.009,-1.5119999999999998,0.012,-0.015,90.0,84.3,normal,D5
75,97.34,83.4,40.530666,-3.425817,-0.046,0.022,0.018,-0.004,-1.52,0.012,0.019,90.0,84.3,normal,D5
76,98.33,83.8,40.530819,-3.425987,-0.002,0.046,0.015,-0.005,-1.527,-0.002,0.046,90.0,84.2,normal,D5
77,99.37,84.2,40.530972,-3.426165,0.008,0.008,0.015,-0.005,-1.533,-0.018,0.059,90.0,84.2,normal,D5
78,100.34,84.5,40.531132,-3.426346,-0.049,-0.001,-0.006,-0.003,-1.536,0.005,0.081,90.0,84.2,normal,D5
79,101.36,84.2,40.531284,-3.426536,-0.022,0.003,0.011,0.009,-1.529,0.002,0.108,90.0,84.2,normal,D5
