,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Maximum allowed speed of current road (km/h),GPS speed (km/h) [same as in RAW GPS]],class,Driver
0,21.5,0.0,40.518185,-3.409276,-0.003,0.017,0.005,0.004,-1.5630000000000002,0.023,0.021,100.0,83.8,normal,D4
1,22.53,82.3,40.518341,-3.409413,-0.003,-0.001,-0.012,-0.002,-1.5730000000000002,0.03,0.019,100.0,83.8,normal,D4
2,23.53,84.2,40.518494,-3.409551,-0.034,0.0069999999999999,0.008,0.009,-1.567,0.032,0.019,100.0,83.8,normal,D4
3,24.5,84.3,40.518654,-3.409704,-0.032,-0.019,-0.024,-0.005,-1.568,0.031,0.021,100.0,83.8,normal,D4
4,25.5,84.3,40.518829,-3.409868,-0.079,0.043,-0.0069999999999999,-0.025,-1.564,0.027,0.018,100.0,83.8,normal,D4
5,26.5,84.5,40.519009,-3.410038,-0.02,-0.0409999999999999,-0.022,-0.0139999999999999,-1.554,0.019,0.015,100.0,83.8,normal,D4
6,27.56,83.8,40.519184,-3.410199,-0.017,0.033,-0.011,0.0,-1.527,0.015,0.011,100.0,83.8,normal,D4
7,28.48,82.5,40.519352000000005,-3.410354,0.0069999999999999,-0.02,0.039,0.04,-1.541,0.009,0.0,100.0,80.5,normal,D4
8,29.5,80.5,40.519508,-3.410501,-0.057,-0.016,0.019,0.016,-1.5590000000000002,0.025,0.004,100.0,80.5,normal,D4
9,30.5,84.7,40.519688,-3.4106690000000004,0.026,-0.017,0.013,0.017,-1.5719999999999998,0.027,0.01,100.0,82.4,normal,D4
10,31.5,82.4,40.519852,-3.410825,-0.022,-0.0279999999999999,-0.012,-0.009,-1.58,0.03,0.0139999999999999,100.0,82.4,normal,D4
11,32.49,82.8,40.52002,-3.4109800000000003,-0.02,0.027,-0.032,-0.012,-1.587,0.027,0.015,100.0,83.7,normal,D4
12,33.5,83.7,40.520191,-3.411134,-0.023,-0.023,0.0139999999999999,-0.016,-1.59,0.002,0.002,100.0,83.7,normal,D4
13,34.49,84.6,40.520363,-3.411289,-0.088,-0.032,-0.0069999999999999,-0.0069999999999999,-1.582,0.017,0.002,100.0,83.7,normal,D4
14,35.51,85.3,40.520538,-3.411452,0.113,-0.022,-0.022,-0.0069999999999999,-1.5759999999999998,0.03,0.003,100.0,86.8,normal,D4
15,36.5,86.2,40.520714,-3.411617,-0.031,-0.0,-0.0069999999999999,0.008,-1.586,0.0289999999999999,0.004,100.0,86.8,normal,D4
16,37.51,86.8,40.520889,-3.411779,-0.016,-0.054,0.004,0.002,-1.575,0.031,0.005,100.0,86.8,normal,D4
17,38.53,87.5,40.521069,-3.411946,-0.074,-0.001,-0.013,-0.023,-1.579,0.025,0.003,100.0,87.7,normal,D4
18,39.49,87.4,40.521244,-3.412113,0.043,-0.048,0.037,0.01,-1.587,0.0279999999999999,0.003,100.0,87.7,normal,D4
19,40.51,87.7,40.521423,-3.412281,0.006,-0.002,0.016,0.017,-1.584,0.027,0.001,100.0,87.7,normal,D4
20,41.48,88.2,40.521599,-3.4124449999999995,-0.049,0.01,-0.01,-0.003,-1.589,0.036,0.005,100.0,88.7,normal,D4
21,42.48,88.5,40.521778000000005,-3.412611,-0.074,0.0139999999999999,-0.026,-0.019,-1.59,0.04,0.009,100.0,88.7,normal,D4
22,43.54,88.7,40.521957,-3.412782,0.002,0.022,-0.011,0.004,-1.591,0.031,0.009,100.0,88.7,normal,D4
23,44.51,89.0,40.522137,-3.412954,-0.037,-0.032,0.022,0.017,-1.588,0.023,0.008,100.0,90.1,normal,D4
24,45.51,90.1,40.522324,-3.413128,0.009,-0.009,-0.0069999999999999,-0.002,-1.594,0.025,0.022,100.0,90.1,normal,D4
25,46.5,88.1,40.522499,-3.413295,-0.045,-0.035,0.016,0.011,-1.595,0.027,0.038,100.0,90.1,normal,D4
26,47.5,87.7,40.522671,-3.413468,0.011,-0.017,-0.0069999999999999,-0.004,-1.591,0.038,0.067,100.0,89.9,normal,D4
27,48.49,89.9,40.522846,-3.413646,0.026,-0.0139999999999999,-0.015,-0.004,-1.591,0.032,0.098,100.0,89.9,normal,D4
28,49.53,89.8,40.52301,-3.413834,-0.099,-0.062,-0.0139999999999999,0.008,-1.592,0.022,0.133,100.0,89.8,normal,D4
29,50.5,89.6,40.52317,-3.4140370000000004,0.063,0.004,-0.005,-0.016,-1.598,0.033,0.173,100.0,89.6,normal,D4
30,51.57,89.6,40.523335,-3.414246,-0.035,0.023,-0.004,0.004,-1.59,0.03,0.206,100.0,89.6,normal,D4
31,52.49,89.6,40.523491,-3.41446,0.013,0.022,-0.005,-0.017,-1.584,0.004,0.226,100.0,89.6,normal,D4
