,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Maximum allowed speed of current road (km/h),GPS speed (km/h) [same as in RAW GPS]],class,Driver
0,22.94,0.0,40.519276,-3.4130550000000004,-0.036,-0.015,0.008,0.002,-1.591,0.025,0.069,100.0,92.2,normal,D3
1,23.92,87.7,40.518543,-3.4095760000000004,-0.027,-0.009,0.0279999999999999,0.03,-1.594,0.031,0.076,100.0,92.2,normal,D3
2,24.95,90.6,40.51873,-3.409775,-0.0409999999999999,-0.031,-0.0069999999999999,0.001,-1.6130000000000002,0.044,0.093,100.0,92.2,normal,D3
3,25.93,92.2,40.518936,-3.409934,-0.038,-0.023,-0.003,0.001,-1.618,0.034,0.104,100.0,92.2,normal,D3
4,26.93,93.3,40.519135,-3.410124,0.044,0.027,0.005,0.002,-1.62,0.013,0.099,100.0,93.3,normal,D3
5,27.94,94.7,40.519291,-3.410303,-0.015,-0.027,-0.035,-0.025,-1.614,0.005,0.087,100.0,94.7,normal,D3
6,28.96,96.0,40.519482,-3.4104870000000003,0.04,-0.013,-0.006,-0.023,-1.604,0.008,0.085,100.0,96.0,normal,D3
7,29.96,91.4,40.519669,-3.410653,-0.005,-0.02,0.015,-0.009,-1.589,0.008,0.084,100.0,91.4,normal,D3
8,31.0,97.1,40.519848,-3.4108440000000004,-0.023,0.016,-0.017,-0.004,-1.584,0.016,0.087,100.0,96.7,normal,D3
9,31.92,96.7,40.520039,-3.411056,0.0069999999999999,0.008,0.009,0.003,-1.5830000000000002,0.008,0.086,100.0,96.7,normal,D3
10,32.94,96.8,40.520241,-3.411239,-0.039,-0.005,0.011,0.002,-1.589,0.001,0.081,100.0,96.8,normal,D3
11,33.93,96.9,40.520435,-3.41142,0.064,-0.003,-0.009,0.001,-1.579,0.004,0.079,100.0,96.9,normal,D3
12,34.92,97.1,40.520664,-3.411603,-0.142,0.016,-0.03,-0.022,-1.577,0.012,0.076,100.0,97.1,normal,D3
