,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Maximum allowed speed of current road (km/h),GPS speed (km/h) [same as in RAW GPS]],class,Driver
0,18.42,68.3,40.516933,-3.408077,-0.068,-0.006,-0.024,-0.012,-1.5630000000000002,-0.04,0.0559999999999999,100.0,68.4,normal,D6
1,19.37,68.5,40.517075,-3.408206,0.013,0.048,0.006,-0.002,-1.555,-0.035,0.0559999999999999,100.0,68.4,normal,D6
2,20.36,68.0,40.517216,-3.4083370000000004,0.035,-0.0069999999999999,-0.016,-0.008,-1.554,-0.032,0.0579999999999999,100.0,68.4,normal,D6
3,21.37,68.4,40.517357,-3.408457,-0.046,0.017,-0.0069999999999999,-0.004,-1.5519999999999998,-0.034,0.065,100.0,68.4,normal,D6
4,22.36,68.2,40.517494,-3.4085910000000004,0.019,-0.011,0.022,0.008,-1.54,-0.023,0.074,100.0,68.2,normal,D6
5,23.36,67.8,40.517635,-3.408721,-0.026,0.008,-0.015,0.002,-1.548,-0.02,0.08,100.0,67.9,normal,D6
6,24.39,67.9,40.517765,-3.408847,0.008,0.0279999999999999,0.015,0.006,-1.546,-0.019,0.078,100.0,67.9,normal,D6
7,25.44,66.1,40.517902,-3.408976,-0.0139999999999999,0.015,0.015,0.025,-1.55,-0.015,0.0819999999999999,100.0,66.1,normal,D6
8,26.37,68.2,40.518024,-3.4091,0.002,0.047,0.012,0.01,-1.5619999999999998,0.006,0.0819999999999999,100.0,68.2,normal,D6
9,27.41,69.0,40.518169,-3.409222,-0.018,-0.004,-0.016,-0.004,-1.554,0.009,0.085,100.0,69.0,normal,D6
10,28.39,68.8,40.518311,-3.409349,0.065,-0.032,0.0139999999999999,-0.009,-1.5519999999999998,0.023,0.092,100.0,69.0,normal,D6
11,29.41,69.4,40.518459,-3.4094870000000004,0.015,0.011,-0.023,-0.0139999999999999,-1.545,0.036,0.094,100.0,69.4,normal,D6
12,30.36,69.5,40.518604,-3.4096230000000003,-0.016,0.011,0.0289999999999999,0.013,-1.546,0.02,0.086,100.0,69.4,normal,D6
13,31.36,69.1,40.518745,-3.40975,-0.055,0.016,0.006,0.018,-1.547,0.005,0.079,100.0,69.1,normal,D6
14,32.36,69.5,40.518894,-3.409885,0.018,-0.051,0.048,0.025,-1.55,0.024,0.084,100.0,69.1,normal,D6
15,33.36,68.2,40.519005,-3.410006,-0.021,0.046,0.036,-0.003,-1.56,0.035,0.1,100.0,68.2,normal,D6
16,34.36,70.9,40.519146,-3.410138,-0.045,0.078,0.038,0.022,-1.556,0.013,0.09,100.0,68.2,normal,D6
17,35.36,69.9,40.519295,-3.4102690000000004,-0.011,-0.059,0.01,0.004,-1.554,0.002,0.0819999999999999,100.0,69.9,normal,D6
18,36.36,70.6,40.519436,-3.410403,-0.07,-0.0579999999999999,-0.002,-0.002,-1.555,-0.001,0.08,100.0,69.9,normal,D6
19,37.39,70.6,40.519581,-3.410536,0.003,0.012,0.0,-0.0069999999999999,-1.5590000000000002,-0.005,0.084,100.0,70.6,normal,D6
20,38.4,73.6,40.519737,-3.410683,-0.0069999999999999,0.006,-0.017,-0.015,-1.5619999999999998,-0.005,0.0819999999999999,100.0,70.6,normal,D6
21,39.37,70.3,40.519878000000006,-3.410823,0.002,0.0139999999999999,0.005,-0.015,-1.567,-0.013,0.078,100.0,70.3,normal,D6
22,40.38,69.8,40.52002,-3.410966,0.008,-0.0289999999999999,0.004,-0.005,-1.5659999999999998,-0.002,0.078,100.0,69.8,normal,D6
23,41.38,70.4,40.520176,-3.411093,-0.019,0.027,0.021,0.003,-1.561,0.011,0.079,100.0,70.4,normal,D6
24,42.36,70.7,40.520325,-3.41123,0.036,-0.005,0.022,0.022,-1.564,0.015,0.079,100.0,70.7,normal,D6
25,43.38,69.9,40.52047,-3.411363,0.0279999999999999,0.0139999999999999,-0.003,-0.001,-1.5590000000000002,0.009,0.077,100.0,70.7,normal,D6
26,44.37,69.8,40.520615,-3.411509,0.004,-0.013,-0.018,0.0069999999999999,-1.56,-0.004,0.067,100.0,69.8,normal,D6
27,45.38,70.5,40.520756,-3.4116410000000004,0.03,-0.012,0.023,-0.004,-1.561,-0.004,0.067,100.0,69.8,normal,D6
28,46.37,70.4,40.520893,-3.411773,-0.053,0.005,-0.0289999999999999,-0.0139999999999999,-1.5619999999999998,0.002,0.074,100.0,70.4,normal,D6
